circuit_type,num_qubits,optimization_level,identical,native_time_s,qlego_time_s,overhead_pct,native_Gate Count,native_Circuit Depth,native_2Q Count,native_2Q Depth,qlego_Gate Count,qlego_Circuit Depth,qlego_2Q Count,qlego_2Q Depth
DJ Circuit,5,0,True,0.0053,0.3841,7152.1,55,31,19,16,55,31,19,16
DJ Circuit,5,1,True,0.0032,0.3627,11194.7,38,17,7,7,38,17,7,7
DJ Circuit,5,2,True,0.0033,0.5593,16800.3,35,15,7,7,35,15,7,7
DJ Circuit,5,3,True,0.0032,0.3654,11470.7,35,15,7,7,35,15,7,7
GHZ Circuit,5,0,True,0.0007,0.36,54427.1,12,8,4,4,12,8,4,4
GHZ Circuit,5,1,True,0.0007,0.3588,47890.8,12,8,4,4,12,8,4,4
GHZ Circuit,5,2,True,0.001,0.3635,36216.0,12,8,4,4,12,8,4,4
GHZ Circuit,5,3,True,0.0014,0.3605,24814.0,12,8,4,4,12,8,4,4
QFT Circuit,5,0,True,0.0016,0.4005,25717.8,106,78,56,43,106,78,56,43
QFT Circuit,5,1,True,0.002,0.3684,18323.3,85,58,41,34,85,58,41,34
QFT Circuit,5,2,True,0.0034,0.3621,10446.6,83,49,28,25,83,49,28,25
QFT Circuit,5,3,True,0.0031,0.3702,11799.9,83,49,28,25,83,49,28,25
DJ Circuit,10,0,True,0.0013,0.4588,34107.7,154,89,75,54,154,89,75,54
DJ Circuit,10,1,True,0.0023,0.4073,17628.9,93,40,27,26,93,40,27,26
DJ Circuit,10,2,True,0.0033,0.372,11236.3,100,45,24,24,100,45,24,24
DJ Circuit,10,3,True,0.004,0.3837,9463.6,100,45,24,24,100,45,24,24
GHZ Circuit,10,0,True,0.0007,0.3664,54849.4,22,13,9,9,22,13,9,9
GHZ Circuit,10,1,True,0.0008,0.3541,46862.1,22,13,9,9,22,13,9,9
GHZ Circuit,10,2,True,0.0013,0.3622,27958.9,22,13,9,9,22,13,9,9
GHZ Circuit,10,3,True,0.0018,0.3587,19489.9,22,13,9,9,22,13,9,9
QFT Circuit,10,0,True,0.0022,0.3875,17852.4,475,213,300,145,475,213,300,145
QFT Circuit,10,1,True,0.0037,0.3918,10416.7,424,202,261,142,424,202,261,142
QFT Circuit,10,2,True,0.0088,0.3836,4250.5,397,168,159,105,397,168,159,105
QFT Circuit,10,3,True,0.0102,0.3688,3531.3,384,170,152,95,384,170,152,95
DJ Circuit,30,0,True,0.0018,0.3563,19548.8,504,253,263,172,504,253,263,172
DJ Circuit,30,1,True,0.0043,0.3618,8380.6,346,159,140,114,346,159,140,114
DJ Circuit,30,2,True,0.0093,0.4489,4742.2,386,180,106,91,386,180,106,91
DJ Circuit,30,3,True,0.0129,0.3952,2952.6,383,188,106,94,383,188,106,94
GHZ Circuit,30,0,True,0.0015,0.381,26171.6,221,135,188,131,221,135,188,131
GHZ Circuit,30,1,True,0.0012,0.358,30255.7,62,33,29,29,62,33,29,29
GHZ Circuit,30,2,True,0.0028,0.3757,13504.9,62,33,29,29,62,33,29,29
GHZ Circuit,30,3,True,0.0244,0.4676,1816.5,62,33,29,29,62,33,29,29
QFT Circuit,30,0,True,0.03,0.4066,1255.5,4785,970,3360,732,4785,970,3360,732
QFT Circuit,30,1,True,0.0199,0.4403,2112.2,4086,1040,2691,768,4086,1040,2691,768
QFT Circuit,30,2,True,0.0821,0.4623,463.1,3487,637,1661,396,3487,637,1661,396
QFT Circuit,30,3,True,0.1077,0.4798,345.4,3891,918,1944,604,3891,918,1944,604
DJ Circuit,60,0,True,0.0026,0.3768,14527.1,1094,528,611,382,1094,528,611,382
DJ Circuit,60,1,True,0.0062,0.3651,5781.9,721,312,305,228,721,312,305,228
DJ Circuit,60,2,True,0.0206,0.442,2046.9,965,385,370,222,965,385,370,222
DJ Circuit,60,3,True,0.0269,0.4243,1474.5,808,360,282,215,808,360,282,215
GHZ Circuit,60,0,True,0.0019,0.4027,21576.0,440,223,377,219,440,223,377,219
GHZ Circuit,60,1,True,0.0206,0.406,1868.1,259,181,196,177,259,181,196,177
GHZ Circuit,60,2,True,0.1018,0.4867,377.9,369,253,196,180,369,253,196,180
GHZ Circuit,60,3,True,0.1224,0.5024,310.6,343,236,180,170,343,236,180,170
QFT Circuit,60,0,True,0.0261,0.4273,1538.8,20853,2562,15303,2040,20853,2562,15303,2040
QFT Circuit,60,1,True,0.1135,0.5342,370.7,16239,2711,11320,2073,16239,2711,11320,2073
QFT Circuit,60,2,True,0.2188,0.619,182.9,10358,2467,5789,1688,10358,2467,5789,1688
QFT Circuit,60,3,True,0.2607,0.6862,163.2,10834,1777,5341,1191,10834,1777,5341,1191
